Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
GS Entec Corp,KR,Trading Companies & Distributors,Trading Companies & Distributors,BBB,4.4,5.7,7.3,2.2
GS FINANCE CORP,US,Investment Banking & Brokerage,Investment Banking & Brokerage,A,7.13,10,6.2,3.1
GS Holdings Corp,KR,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BBB,4.4,5.7,7.3,2.2
"GS Power Co, Ltd",KR,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BBB,4.4,5.7,7.3,2.2
"GS Retail Co,Ltd",KR,Retail - Food & Staples,Food Retail,BB,4.1,1.9,4.4,4.2
GS Yuasa Corporation,JP,Electrical Equipment,Electrical Components & Equipment,A,6.3,5.9,5.6,4.9
GSK FINANCE (NO3) PLC,GB,Pharmaceuticals,Pharmaceuticals,AA,7.4,6.3,4.7,6
"GT CAPITAL HOLDINGS, INC",PH,Industrial Conglomerates,Industrial Conglomerates,BB,4.1,8.3,4.2,4.5
GTL Trade Finance Inc,BR,Steel,Steel,BB,3.9,3.5,4.4,3.2
GTLK AO,RU,Trading Companies & Distributors,,CCC,0,6.7,7.1,0
GTLK EUROPE CAPITAL DESIGNATED ACTIVITY COMPANY,IE,Trading Companies & Distributors,,CCC,0,6.7,7.1,0
GTLK EUROPE DESIGNATED ACTIVITY COMPANY,IE,Trading Companies & Distributors,,CCC,0,6.7,7.1,0
GTLK-1520 OOO,RU,Trading Companies & Distributors,,CCC,0,6.7,7.1,0
"GTP ACQUISITION PARTNERS I, LLC",US,Telecommunication Services,Specialized REITs,AA,8.3,10,7.4,5.6
"GTT COMMUNICATIONS, INC",US,Software & Services,Internet Services & Infrastructure,BB,3.6,4.5,3.4,3.8
GTT Communications BV,NL,Software & Services,Internet Services & Infrastructure,BB,3.6,4.5,3.4,3.8
GUACOLDA ENERGIA SPA,CL,Utilities,Independent Power Producers & Energy Traders,BBB,5.1,4.6,7.1,5.2
GUAN CHONG BERHAD,MY,Food Products,Packaged Foods & Meats,BBB,4.9,1.6,5.8,4.9
GUANGDONG INVESTMENT LIMITED,HK,Utilities,Water Utilities,BB,3.9,5.5,6.8,3
GUARANTY BANK (AUSTIN),US,Banks,Regional Banks,A,5.9,7.6,4,6.3
GUARANTY TRUST HOLDING COMPANY PLC,NG,Banks,Diversified Banks,BBB,4.9,0,5,4
GUARARAPES CONFECCOES SA,BR,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",BB,3.4,3.1,4.3,4.3
"GUARDANT HEALTH, INC",US,Health Care Equipment & Supplies,Health Care Services,BB,3.4,6,4.6,4.7
GUD HOLDINGS LIMITED,AU,Auto Components,Auto Parts & Equipment,AA,8,3.3,4.4,7.3
GUERBET SA,FR,Health Care Equipment & Supplies,Health Care Supplies,A,6.1,9.2,5.3,5.7
"GUESS ?, INC",US,Retail - Consumer Discretionary,Apparel Retail,BB,4.1,5.6,4.3,3.2
"GUIDEWIRE SOFTWARE, INC",US,Software & Services,Application Software,A,6.9,5,5.3,5.6
GUIMARANIA I SOLAR SPE SA,BR,Utilities,Gas Utilities,AAA,10,10,9,7.4
GUIMARANIA II SOLAR SPE SA,BR,Utilities,Gas Utilities,AAA,10,10,9,7.4
GUJARAT GAS LIMITED,IN,Utilities,Gas Utilities,BB,3.1,4.4,4.6,2.6
GUJARAT PIPAVAV PORT LIMITED,IN,Transportation Infrastructure,Marine Ports & Services,B,2.6,7.6,1.9,3.2
GUJARAT STATE PETRONET LIMITED,IN,Utilities,Gas Utilities,B,1.8,6.5,4.3,1.3
GULF KEYSTONE PETROLEUM LIMITED,BM,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,A,6,3.7,4.6,6.9
GULF POWER COMPANY,US,Utilities,Electric Utilities,BB,3.9,6.7,3.9,4
"GULF SOUTH PIPELINE COMPANY, LP",US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Storage & Transportation,BBB,5,6.4,3.6,3.7
GULFPORT ENERGY CORPORATION,US,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,B,2.5,1,3,6.4
GUNZE LIMITED,JP,Industrial Conglomerates,"Apparel, Accessories & Luxury Goods",BBB,4.4,3.6,3.5,4.1
"GUOSEN SECURITIES CO, LTD",CN,Investment Banking & Brokerage,Investment Banking & Brokerage,B,2.1,2.3,1.6,4.6
GUOYUAN SECURITIES COMPANY LIMITED,CN,Investment Banking & Brokerage,Investment Banking & Brokerage,CCC,1.4,2.3,2.7,3.9
GUSAP III LP,US,Steel,Steel,BB,3.9,3.5,4.4,3.2
GVS SPA,IT,Health Care Equipment & Supplies,Industrial Machinery,AA,8.4,6.1,6.7,5.6
GWA GROUP LIMITED,AU,Building Products,Building Products,A,7.1,4.4,5.7,6.7
GWYNT Y MOR OFTO PLC,GB,Construction & Engineering,Construction & Engineering,AA,7.7,3.5,6.6,5.6
"GXO LOGISTICS, INC",US,Air Freight & Logistics,Air Freight & Logistics,AA,7.6,7.9,1.9,6.8
GYP HOLDINGS III CORP,US,Trading Companies & Distributors,Trading Companies & Distributors,A,6.9,3,6.6,6.5
